name,brand_name,regular_price_value,offer_price_value,currency,classification_l1,classification_l2,classification_l3,classification_l4,image_url
John Lewis & Partners Bannister Leather Sport Moccasin  Brown,john lewis & partners,110,44,GBP,men,men's shoes nch,men's shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/004195649?
Reiss Matilda Bardot Ribbed Top,reiss,115,50,GBP,women,women's shirts & tops,,,https://johnlewis.scene7.com/is/image/JohnLewis/004143267?
hush Becca Jumpsuit  Navy,hush,89,45,GBP,women,women's jumpsuits & playsuits,,,https://johnlewis.scene7.com/is/image/JohnLewis/004273369?
Geox Siron Leather Moccasins,geox,95,95,GBP,men,men's shoes nch,men's shoes  boots & trainers,,https://johnlewis.scene7.com/is/image/JohnLewis/003935245?
adidas Linear Core Duffel Bag  Small  Semi Solar Pink/True Pink,adidas,21.95,21.95,GBP,sport & leisure,kit & duffel bags,,,https://johnlewis.scene7.com/is/image/JohnLewis/237854813?
Gina Bacconi Beretta Embroidered Dress  Multi,gina bacconi,299,119.6,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004159367?
Clinique For Men Exfoliating Tonic  200ml,clinique,18,18,GBP,beauty,men's skin care,,,https://johnlewis.scene7.com/is/image/JohnLewis/000047901?
Diesel Damien Trunks  Pack of 3  Black/Grey/White,diesel,36,20.16,GBP,men,men's underwear,,,https://johnlewis.scene7.com/is/image/JohnLewis/003799348?
French Connection Tosca Stripe Midi Dress  Grey/Multi,french connection,95,34,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004297822?
Warehouse Pussy Bow Mini Dress  Bright Red,warehouse,36.75,36.75,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004765603
Guerlain Météorites Compact,guerlain,42,42,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237923468?
Guerlain Météorites Compact,guerlain,42,42,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237923467?
Masai Copenhagen Nelly Star Print Dress  Black,masai,109,109,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004249159?
LSA International Whisky Decanter & Glasses Gift Set  7 Pieces,lsa international,168,168,GBP,home & garden,drinkware,brandy  whisky & cognac glasses,,https://johnlewis.scene7.com/is/image/JohnLewis/234456731?
Belstaff Racemaster Jacket,belstaff,280,280,GBP,men,men's coats & jackets,,,https://johnlewis.scene7.com/is/image/JohnLewis/004151820?
Guerlain Météorites Compact,guerlain,42,42,GBP,beauty,makeup,,,https://johnlewis.scene7.com/is/image/JohnLewis/237923469?
Warehouse Pussy Bow Mini Dress  Bright Red,warehouse,36.75,36.75,GBP,women,women's dresses,,,https://johnlewis.scene7.com/is/image/JohnLewis/004765603
Ted Baker Abiah Small Tote Bag  Multi/Black,ted baker,79,47.4,GBP,women,handbags  bags & purses,,,https://johnlewis.scene7.com/is/image/JohnLewis/238156821?
Sekonda 1787 Men's Chronograph Date Leather Strap Watch  Black,sekonda,89.99,45,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/238289439?
John Lewis & Partners 1400 grade Lining Paper  20m,john lewis & partners,6,6,GBP,home & garden,diy,wallpaper,,https://johnlewis.scene7.com/is/image/JohnLewis/231049173?
adidas Own The Run Astro Wind Tracksuit Bottoms  Black,adidas,42.95,42.95,GBP,men,men's trousers,,,https://johnlewis.scene7.com/is/image/JohnLewis/003844230?
Estée Lauder Re-Nutriv Ultimate Diamond Transformative Energy Crème Rich  50ml,estée lauder,252,252,GBP,beauty,skin care  treatments & supplements,moisturisers,,https://johnlewis.scene7.com/is/image/JohnLewis/237771045?
HUGO BOSS Men's Ocean Edition Chronograph Bracelet Strap Watch,hugo boss,399,399,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/237908852?
HUGO BOSS Men's Ocean Edition Chronograph Bracelet Strap Watch,hugo boss,399,399,GBP,men,men's accessories,men's watches,,https://johnlewis.scene7.com/is/image/JohnLewis/237908839?
Happy News Happy Squidgy Mallow Unicorn Tails  200g,happy news,6.99,6.99,GBP,gifts,gift food & alcohol,gift food & alcohol,,https://johnlewis.scene7.com/is/image/JohnLewis/238059180?
Gerard Darel Christie Floral Print Scarf  Green,gerard darel,115,69,GBP,women,women's hats  gloves & scarves,,,https://johnlewis.scene7.com/is/image/JohnLewis/004257473?
American Crew ACUMEN Clay Exfoliating Cleanser  150ml,american crew,22,22,GBP,beauty,men's skin care,,,https://johnlewis.scene7.com/is/image/JohnLewis/237971922?
Babymel Robyn Convertible Vegan Leather Backpack Changing Bag  Tan,babymel,65,65,GBP,baby & child,buggies & travel,changing bags,,https://johnlewis.scene7.com/is/image/JohnLewis/237393468?
Fresh Rose Cleansing Foam  120ml,fresh,24,24,GBP,beauty,skin care  treatments & supplements,cleansers & toners,,https://johnlewis.scene7.com/is/image/JohnLewis/237034796?
